sifra proizvoda,naziv proizvoda,sifra sirovine,naziv sirovine,jedinica mjere sirovine,količina,jedinica mjere,dužina,širina,visina,komada,kantiranje
122,PALERMO 180 x 200,498,Filc tvrdi 500 gr/m 210x2500,kg,1.9425,Madrac,210,205,0.5,1,
122,PALERMO 180 x 200,503,Džepičasto jezgro 188x168x14 ,kom,1,Madrac,,,,,
122,PALERMO 180 x 200,520,Platno za madrace J49 280 gr. JT,m,4.1,Madrac,,,,2,
122,PALERMO 180 x 200,543,Nogica 8030 BLACK 13 cm B,kom,2,Korpus(baza),,,,,
122,PALERMO 180 x 200,569,Ljepljiva traka 48x66 ,kom,0.2222222222,Madrac,,,,,
122,PALERMO 180 x 200,569,Ljepljiva traka 48x66 ,kom,0.1,Uzglavlje,,,,,
122,PALERMO 180 x 200,594,Leptir matica M6,kom,2,Korpus(baza),,,,,
122,PALERMO 180 x 200,794,"Retex 70gr/m 1,6m ",m,2,Uzglavlje,1.6,2,,,
122,PALERMO 180 x 200,857,Termo vata ,kg,0.621,Uzglavlje,230,90,0.3,1,
122,PALERMO 180 x 200,857,Termo vata 300 gr,kg,1.2915,Madrac,210,205,0.3,1,
122,PALERMO 180 x 200,953,Retex 70 gr/m ,m,2,Sijeda,2.1,100,,,
122,PALERMO 180 x 200,1132,Valoviti karton_Bigovana trakica troslojna,kom,2,Uzglavlje,,,,,
122,PALERMO 180 x 200,1132,Valoviti karton_Bigovana trakica troslojna,kom,4,Korpus(baza),,,,,
123,Agro 180X200,858,Bijela iverica 16mm,m2,0.9552,,199,24,,2,1
123,Agro 180X200,858,Bijela iverica 16mm,m2,0.41184,,85.8,24,,2,1
123,Grand 180x200,858,Bijela iverica 16mm,m2,0.7562,,199,19,,2,1
123,Grand 180x200,858,Bijela iverica 16mm,m2,0.32604,,85.8,19,,2,1
123,Pluton 160x200,37,Bijeli lesonit 3mm,m2,3.1442,,199,79,,2,
123,PLUTON 160X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0149,,,,,,
123,PLUTON 160X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.01,,,,,,
123,PLUTON 160X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0075675,,,,,,
123,PLUTON 160X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0038,,,,,,
123,PLUTON 160X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0038,,,,,,
123,PLUTON 160X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.003,,,,,,
123,PLUTON 160X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0027,,,,,,
123,PLUTON 160X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0015,,,,,,
123,PLUTON 160X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0015,,,,,,
123,PLUTON 160X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0002,,,,,,
123,Pluton 160x200,897,IVERICA 16MM 2800-2070 I KLASA,m2,1.079,,166,65,,1,
123,Pluton 160x200,897,IVERICA 16MM 2800-2070 I KLASA,m2,0.5838,,166.8,35,,1,
123,Pluton 160x200,897,IVERICA 16MM 2800-2070 I KLASA,m2,0.272,,170,8,,2,
123,Pluton 160x200,897,IVERICA 16MM 2800-2070 I KLASA,m2,0.20288,,126.8,8,,2,
123,Pluton 160x200,897,IVERICA 16MM 2800-2070 I KLASA,m2,0.083,,166,5,,1,
123,Pluton 160x200,41,Sirovi lesnit 3mm,m2,3.1442,,199,79,,2,
123,PLUTON 160X200 krevet + madrac,303,Spužva VA 4015 SP,kg,3.0225,,,,,,
123,PLUTON 160X200 krevet + madrac,302,Spužva VH 2130 SP,kg,1.134,,,,,,
123,PLUTON 160X200 krevet + madrac,302,Spužva VH 2130 SP,kg,1.008,,,,,,
123,PLUTON 160X200 krevet + madrac,302,Spužva VH 2130 SP,kg,0.792,,,,,,
123,PLUTON 160X200 krevet + madrac,302,Spužva VH 2130 SP,kg,0.2296,,,,,,
123,PLUTON 160X200 krevet + madrac,302,Spužva VH 2130 SP,kg,0.0952,,,,,,
123,PLUTON 160X200 krevet + madrac,232,Spužva VH 2538 SP,kg,3.84,,,,,,
123,PLUTON 160X200 krevet + madrac,232,Spužva VH 2538 SP,kg,2.7203,,,,,,
123,PLUTON 160X200 krevet + madrac,232,Spužva VH 2538 SP,kg,1.1718,,,,,,
123,PLUTON 160X200 krevet + madrac,232,Spužva VH 2538 SP,kg,1.008,,,,,,
123,PLUTON 160X200 krevet + madrac,232,Spužva VH 2538 SP,kg,0.6699,,,,,,
123,PLUTON 160 x 200,13,Paspul Traka-Opšivna traka 40mm ,m,16,Madrac,,,,,
