,,,
ZALIHA  ŠTOFOVI 30.3.26,,,
,,,
,,,
naziv,šifra,JM,stanje
Štof Riviera 91 (Helena 121),111,m,325.20
Štof Riviera 95,347,m,42.00
Štof Riviera 96,282,m,34.00
Štof Riviera 97,5,m,38.20
Štof Royal 27 (Helena 108),68,m,442.60
Štof Runagain 06,847,m,7.00
Štof Runo 03,844,m,6.50
Štof Runo 26,1231,m,15.00
Štof Runo 97,1074,m,25.00
Štof Sand 03,1436,m,8.00
Štof Sand 21,1339,m,15.00
Štof SCALA 82,1071,m,15.00
Štof SCALA 92,1072,m,15.00
Štof SEAL 18,1298,m,20.00
Štof SEAL 38,987,m,4.00
Štof Sometimes 85,1362,m,6.00
Štof Soro 21,22,m,69.60
Štof Soro 90,371,m,12.01
Štof Storm 02,482,m,66.10
Štof Storm 06,1266,m,10.00
Štof Storm 09,1264,m,20.00
Štof Storm 48,1267,m,10.00
Štof TENDERWAY 90,1059,m,10.00
Štof Terra 06,1073,m,15.00
Štof Terra 13,253,m,12.50
Štof Terra 33,1147,m,29.00
Štof Terra 48,1148,m,2.00
Štof Terra 96,1251,m,18.00
Štof Terra M 103,1055,m,96.90
Štof Titan 101 (Amsterdam 102) SE,78,m,30.00
Štof Today 03,219,m,460.20
Štof Today 13,254,m,150.60
Štof Today 80,353,m,30.00
Štof Today 85,988,m,33.00
Štof VEGA 02,1416,m,10.00
Štof VEGA 11DB,1344,m,6.00
Štof Vibe 03,1146,m,61.30
Štof Vibe 06,950,m,15.00
Štof Vibe 39,1232,m,15.00
Štof Wind 05,361,m,35.00
Štof Wind 31,610,m,6.00
Štof Wind 76,609,m,9.00
Štof Wind 80,489,m,23.00
Štof Wind 82,1247,m,15.00
Štof Zenit 103- mal 2123,81,m,27.00
Štof Zenit 108 S- mal 2128,69,m,195.40
Štof Zenit 215 S - mal. 2132,80,m,211.60
Štof-Mal. 4015 S-Etna 020,214,m,11.00
