sifra proizvoda,naziv proizvoda,opis,dimenzije,tip,grupa artikla,jedinica mjere,neaktivan,valuta,dio,dimenzije dijela,napomene dijela,naziv koraka,odjel,procijenjeno vrijeme,instrukcije,sifra sirovine,naziv sirovine,količina,komada,Duzina,Sirina,Visina,kantiranje,cijena bez PDV,procenat PDV
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,416,METALNI PROFILI 20X30X1,1.57,2,78.5,20,30,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,416,METALNI PROFILI 20X30X1,9.09,2,454.5,20,30,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,416,METALNI PROFILI 20X30X1,3.32,4,83,20,30,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,BRAVARI,BRAVARI,,,416,METALNI PROFILI 20X30X1,7.96,4,199,20,30,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,873,Najlon za pakovanje baze 80x16+16x245 100 mic,2,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,,,,,867,Najlon za pakovanje madraca 160x15+15x240 100mic,1,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,,,,,875,Najlon za pakovanje madraca 180x15+15x240 100mic,1,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,,,,,13,Paspul traka bež/crna 45 mm,16,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,302,PU Oblikovani 20 T piling - 150 O,0.3,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,302,PU Oblikovani 20 T piling - 150 O,0.3,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,302,PU Oblikovani 20 T piling - 150 O,0.3,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,822,PVC držač za ivericu,12,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,822,PVC držač za ivericu,8,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,541,PVC nogica 12 cm STAR crna,4,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,532,PVC nogica sa navojem 12 cm crna KRUŠKA,4,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,821,PVC prsten za kapak 3cm,8,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,823,PVC ručka za bazu crna,2,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,535,PVC stoper (okrugli) za bazu,8,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,820,PVC zaštitnik (osigurač crveni),2,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Madrac,,,,,,,88,"Reteks 14 gr, 210 cm bijeli T",7.14,2,210,170,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,,,,,794,"Reteks 70 gr, 160 cm crni",3.68,,230,160,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,Korpus(baza),,,,,,,569,Selotejp 48mm x 66m (000588),0.1,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,,,,,569,Selotejp 48mm x 66m (000588),0.15,,,,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,897,Sirova iverica  16 mm B,2.5,1,125,200,,,,17
122,PALERMO 180X200 krevet + madrac,,180X200,Gotov proizvod,Metalni,kom,FALSE,BAM,UZGLAVLJE,,,Stolari,STROLARI,,,897,Sirova iverica  16 mm B,0.24,2,200,6,,,,17
