"Demo Company d.o.o.
76100 Brčko, Brod bb
JIB: 4600471110010   PDV: 600471110002
žiro-račun: 
",,,,,,
txtNazivSkladista,txtNazivKategorijeArtikla,RedniBroj,Sifra,NazivArtikla,JedinicaMjere,KOLICINA
Sirovine,,,,,,
,sirovina,,,,,
,,91,422,Madrac platno 50021965 (280 gr) AT,m,482.00
,,92,421,Madrac platno 50021974 (220 gr) AT,m,440.00
,,93,420,Madrac platno 50021976 (240 gr) AT,m,"3,268.04"
,,94,865,Madrac platno 50022741 280gr,m,"1,710.99"
,,95,384,Makaze za bazu,set,"2,301.00"
,,96,389,"Mašinac 8x25-M. Vijak din 933 kv 5,8",kom,"5,068.00"
,,97,1274,Masni konac,kom,10.00
,,98,396,Matica M6,kom,"18,452.00"
,,99,1082,Mehanizam-makaze za bazu DELUX,set,5.00
,,100,773,Metalna nogica STS-D012 BLACK 150MM STICK B,kom,259.00
,,101,531,Metalna ručka za bazu,kom,970.00
,,102,1091,"Metalni element 9,5 cm za nogice",kom,"10,000.00"
,,103,415,"Metalni profil 20x20x0,8 mm",m,"32,607.00"
,,104,416,Metalni profili 20x30x1 mm,m,"23,254.00"
,,105,629,Metar 3m M2407-1,kom,30.00
,,106,630,Metar 5m M2407-2,kom,30.00
,,107,496,Motor OK76458+DW9934+OK53996,kom,1.00
,,108,495,Motor OK81295+DW9334HD24+OK53996+OK3.00.402.026.30,kom,1.00
,,109,1207,Najlon za pakovanje 155x8+8x170 100 mic,kom,"1,040.00"
,,110,1208,Najlon za pakovanje 155x8+8x190 100 mic,kom,600.00
,,111,873,Najlon za pakovanje baze 80x16+16x245 100 mic,kom,"4,058.00"
,,112,874,Najlon za pakovanje baze 90x16+16x245 100 mic,kom,"1,812.00"
,,113,867,Najlon za pakovanje madraca 160x15+15x240 100mic,kom,"2,314.00"
,,114,868,Najlon za pakovanje madraca 160x17+17x245 100mic,kom,400.00
,,115,869,Najlon za pakovanje madraca 160x19+19x250 100mic,kom,221.00
