ArtikalNaziv,ArtikalSifra,JedinicaMjere,FakturnaCijena,TrenutnaKolicina,MinimalnaKolicina,Dobavljaci
Klizač za uzglavlje 19cm,390,kom,,0,0,
Konac - obućarski (13021),592,kom,,0,0,
Konac - svileni,761,kom,,0,0,
Konac 36,17,kom,,0,0,
Konac 40/2 5000 YDS Boja,705,kom,,0,0,
Konac 80 (5000yds) bijeli,15,kom,,0,0,
Konac obućarski,886,kom,,0,0,
Konac pamučni 40/3 5000 YDS,274,kom,,0,0,
Konac svileni 30 P,16,kom,,0,0,
"Konac svileni 30,40 P",216,kom,,0,0,
Konac voštani 0371-0929 250 D/16,800,kom,,0,0,
Konac za štepanje 20.000 mt,418,kom,,0,0,
Konac za štepanje 40 DURATEX (3000m),1088,kom,,0,0,
Konac za štepanje 60 DURATEX (5000m),1089,kom,,0,0,
Konac za štepanje 70 DURATEX (17000m),1090,kom,,0,0,
Konac za štepanje 80 (20.000 mt),419,kom,,0,0,
Konac za štepanje 90 DURATEX (15000m),1087,kom,,0,0,
Kreda - Krojačka 1/10,760,kom,,0,0,
Kutija za pakovanje 380x280x140 N,179,kom,,0,0,
LATO LEŽAJ FORMA 120X200 C,342,kom,,0,0,
Lato Ležaj forma 180x200 C,880,kom,,0,0,
"Lepenka kartonska 1,2 mm 72,0x103,0 cm T",89,kom,,0,0,
Leptir matica M8 cinkovana DIN 315 T,284,kom,,0,0,
Leptir matica M8 PVC,387,kom,,0,0,
Leptir navrtka din315 M6 100/1,594,kom,,0,0,
Leptir navrtka din315 M8 100/1,595,kom,,0,0,
Lesonit bijeli 2800x2070x3 mm B1,198,kom,,0,0,
Lesonit bijeli 3 mm B,37,kom,,0,0,
"Lesonit sirovi 2,8x2,07 B",41,kom,,0,0,
Lesonit Sirovi 2800x2070x3 mm B1,197,kom,,0,0,
"LETVA 5X2,4",626,kom,,0,0,
Ljepilo intercoll 1718 1/170 S,56,kom,,0,0,
Ljepilo za drvo Vinavil 2252 30/1 K,84,kom,,0,0,
Ljepilo za drvo Vinavil 2252 50/1 K,86,kom,,0,0,
Ljepilo za spužvu,398,kom,,0,0,
Ljepljiva traka 48x66 Prozirna/Solvent L (KOM),30,kom,,0,0,
"M. Vijak din 933 kv 5,8 8x25",1158,kom,,0,0,
M. Vijak din 965 6x20,756,kom,,0,0,
"M. Vijak din933 kv5,8 8x30",600,kom,,0,0,
"M. Vijak din933 kv5,8 8x40",599,kom,,0,0,
M. Vijak din965 5x30,601,kom,,0,0,
M. Vijak din965 5x40 100/1,597,kom,,0,0,
M. Vijak din965 6x25,598,kom,,0,0,
Madrac platno  50021973 (280 gr) AT,424,kom,,0,0,
Madrac platno 10001632 75 gr,1204,kom,,0,0,
Madrac platno 10008386 (65 gr) +AT10001632 75 gr,427,kom,,0,0,
Madrac platno 10008388 (65 gr) AT,428,kom,,0,0,
Madrac platno 10010707 235 gr,1205,kom,,0,0,
Madrac platno 200 gr 50022325,521,kom,,0,0,
Madrac platno 280 gr 50022324,520,kom,,0,0,
Madrac platno 321.08396.001.01 (280 gr) AT,184,kom,,0,0,
Madrac platno 50015679 (180 gr) AT,426,kom,,0,0,
Madrac platno 50016161 (190 gr) AT,423,kom,,0,0,
Madrac platno 50018448 280gr,866,kom,,0,0,
Madrac platno 50021013 (180 gr) AT,425,kom,,0,0,
Madrac platno 50021965 (280 gr) AT,422,kom,,0,0,
Madrac platno 50021974 (220 gr) AT,421,kom,,0,0,
Madrac platno 50021976 (240 gr) AT,420,kom,,0,0,
Madrac platno 50022741 280gr,865,kom,,0,0,
Madrac platno RUŽA,72,kom,,0,0,
Magnetni držač bita 150mm,470,kom,,0,0,
Makaze (10),706,kom,,0,0,
Makaze 8,605,kom,,0,0,
"Makaze 9,3/4 0330-0010",762,kom,,0,0,
Makaze za bazu,384,kom,,0,0,
Mašina/testera za rezanje profila,380,kom,,0,0,
"Mašinac 8x25-M. Vijak din 933 kv 5,8",389,kom,,0,0,
Masni konac,1274,kom,,0,0,
Matica M6,396,kom,,0,0,
Matica obična M8 T,801,kom,,0,0,
MEDIJAPAN 2800X2070X3 AK,841,kom,,0,0,
Mehanizam - Škara Sanduk srednji EXSAN (Makaze za krevete) S,66,kom,,0,0,
Mehanizam za garnituru,524,kom,,0,0,
Mehanizam za leđa garniture L24,526,kom,,0,0,
Mehanizam za leđa garniture L28,523,kom,,0,0,
Mehanizam za leđa L22,383,kom,,0,0,
Mehanizam za leđa L26,414,kom,,0,0,
Mehanizam-makaze za bazu DELUX,1082,kom,,0,0,
Metalna nogica STS-D012 BLACK 150MM STICK B,773,kom,,0,0,
Metalna ručka za bazu,531,kom,,0,0,
"Metalni element 9,5 cm za nogice",1091,kom,,0,0,
"Metalni profil 20x20x0,8 mm",415,kom,,0,0,
Metalni profili 20x30x1 mm,416,kom,,0,0,
Metalni profili 30x20x1 - hladna traka (6000),814,kom,,0,0,
Metalni ram + iverica 100 x 200,1,kom,,0,0,
Metalni ram + iverica 120x200,462,kom,,0,0,
Metalni ram + iverica 80 x 200,2,kom,,0,0,
Metalni ram + iverica 90 x 200,3,kom,,0,0,
Metalni tiket sa ekserom za bazu fi 40 mm,448,kom,,0,0,
Metar 3m M2407-1,629,kom,,0,0,
Metar 5m M2407-2,630,kom,,0,0,
Motor OK76458+DW9934+OK53996,496,kom,,0,0,
Motor OK81295+DW9334HD24+OK53996+OK3.00.402.026.30,495,kom,,0,0,
Najlon za pakovanje 155x8+8x170 100 mic,1207,kom,,0,0,
Najlon za pakovanje 155x8+8x190 100 mic,1208,kom,,0,0,
Najlon za pakovanje baze 80x16+16x245 100 mic,873,kom,,0,0,
Najlon za pakovanje baze 90x16+16x245 100 mic,874,kom,,0,0,
Najlon za pakovanje madraca 160x15+15x240 100mic,867,kom,,0,0,
Najlon za pakovanje madraca 160x17+17x245 100mic,868,kom,,0,0,
Najlon za pakovanje madraca 160x19+19x250 100mic,869,kom,,0,0,
Najlon za pakovanje madraca 180x15+15x240 100mic,870,kom,,0,0,
Najlon za pakovanje madraca 180x17+17x245 100mic,871,kom,,0,0,
Najlon za pakovanje madraca 180x19+19x250 100 mic,872,kom,,0,0,
Najlon za pakovanje uzglavlja 170x8+8x150 100 mic,875,kom,,0,0,
Najlon za pakovanje uzglavlja 190x8+8x150 100 mic,876,kom,,0,0,
Nastavak za crijevo za zrak,1077,kom,,0,0,
"Navojna šipka kv 8,8 M-16",758,kom,,0,0,
Navrtka din 934 m16 100/1,759,kom,,0,0,
NOGICA 6036 BIJELA 12CM,1063,kom,,0,0,
NOGICA 6036 BIJELA 12CM,1064,kom,,0,0,
Nogica 6052 black B 17cm,286,kom,,0,0,
Nogica 8030 BLACK 13 cm B,51,kom,,0,0,
Nogica fi 50/h 35 bez tipla-crna E (4801),91,kom,,0,0,
Nogica KALE 12cm Mat Crna M,71,kom,,0,0,
NOGICA SLMW-001 12CM GRAY,936,kom,,0,0,
Nogica STS-7080 Black 200 mm Straight,545,kom,,0,0,
"Nogica trouglasta DGL 15*polyamid, crna",1014,kom,,0,0,
Nosač bita magnetni 60 mm smith,469,kom,,0,0,
Nosač iverice baze,539,kom,,0,0,
Nož 6m 1801 mmd B,467,kom,,0,0,
Nož 7 m 1802 mmd B,468,kom,,0,0,
Nož za spužvu,1080,kom,,0,0,
Nožica fi 55/h 55-bez tipla crna E (4924),92,kom,,0,0,
Nožići za skalper 10/1 u setu M1867,628,kom,,0,0,
Oplemenjena iverica bijela 16 mm B,42,kom,,0,0,
Opler iverica 18mm bijela glatka K114 SM,849,kom,,0,0,
Paspul Traka - Opšivna traka 40mm Bijela,12,kom,,0,0,
Paspul Traka - Opšivna traka 40mm Crna,13,kom,,0,0,
Paspul Traka - Opšivna traka 42 mm Bijela,707,kom,,0,0,
Paspul traka - Opšivna traka 45mm Bijela,787,kom,,0,0,
Paspul traka - Opšivna traka 45mm Crna,788,kom,,0,0,
Paspul traka 42 mm Bijela T,290,kom,,0,0,
Paspul traka 42 mm Crna T,289,kom,,0,0,
Paspul traka antracit bijela 45 mm,450,kom,,0,0,
Paspul traka antracit crna 45 mm,454,kom,,0,0,
Paspul traka bež/bijela 45 mm,452,kom,,0,0,
Paspul traka bež/crna 45 mm,449,kom,,0,0,
Paspul traka bijela 42 mm,455,kom,,0,0,
Paspul traka bijela 45 mm,453,kom,,0,0,
Paspul traka crna 42 mm,456,kom,,0,0,
Paspul traka crna 45mm,1086,kom,,0,0,
Paspul traka siva/bijela 45 mm,451,kom,,0,0,
Piling 220x40x2,793,kom,,0,0,
Piling 220x60x1,792,kom,,0,0,
Piling 220x80x1,826,kom,,0,0,
Piling spužva 14kg 210x1,816,kom,,0,0,
"Piling spužva 15kg 150x0,8",993,kom,,0,0,
Piling spužva 18kg 210x1,994,kom,,0,0,
Pištolj za čelični ekser za bazu,392,kom,,0,0,
Pištolj za pumpu za bacanje ljepila,1085,kom,,0,0,
Pištolj za tapaciranje 80/16 AKD,1075,kom,,0,0,
Pištolj za zrak dugi,1078,kom,,0,0,
Pištolj za zrak kratki,1079,kom,,0,0,
Plastična nogica crna 13/18,1228,kom,,0,0,
Plastične nogice 4 cm,497,kom,,0,0,
Platno - Vellsoft antrasit,812,kom,,0,0,
Platno - Vellsoft natural,811,kom,,0,0,
Platno za madrace J1 200 gr JT,430,kom,,0,0,
Platno za madrace J49 280 gr. JT,57,kom,,0,0,
Platno za madrace J540 280 gr JT,237,kom,,0,0,
PLOČA OD IVERICE 2800X2050X16 MM,927,kom,,0,0,
Podloška 1/4 6M 1mm,394,kom,,0,0,
